5,clean_text,sentiment,compound,pos,neg,neu
Qual a diferença entre a bolsa e o modelo anterior?,diferença entre bolsa modelo anterior,Neutro,-0.016,0.0,0.01,0.99
"Excelente o site, recomendo a todos!",excelente site recomendo todos,Positivo,0.7899,0.71,0.0,0.29
"Equipe super atencioso, super recomendo essa marca!",equipe super atencioso super recomendo marca,Positivo,0.5853,0.449,0.0,0.551
"A bolsa veio com defeito, muito decepcionado.",bolsa veio defeito decepcionado,Negativo,-0.6444,0.0,0.45,0.55
"Comprei a compra ontem, ainda vou testar.",comprei compra ontem ainda vou testar,Neutro,0.0207,0.021,0.0,0.979
"Muito satisfeito com o notebook, vale cada centavo.",satisfeito notebook vale cada centavo,Positivo,0.5032,0.416,0.0,0.584
"Entrega atrasou muito, veio tudo errado.",entrega atrasou veio tudo errado,Negativo,-0.6173,0.0,0.513,0.487
"Produto de baixa qualidade, dinheiro jogado fora.",produto baixa qualidade dinheiro jogado fora,Negativo,-0.5932,0.0,0.437,0.563
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,-0.0157,0.0,0.015,0.985
"Comprei a blusa e chegou rápido, super satisfeito!",comprei blusa chegou rápido super satisfeito,Positivo,0.8692,0.795,0.0,0.205
"A entrega impecável, virei cliente fiel dessa marca.",entrega impecável virei cliente fiel dessa marca,Positivo,0.8867,0.706,0.0,0.294
Estou pesquisando opiniões sobre a embalagem antes de comprar.,estou pesquisando opiniões sobre embalagem antes comprar,Neutro,0.0033,0.003,0.0,0.997
"Recebi o fone de ouvido, embalagem estava ok.",recebi fone ouvido embalagem estava,Neutro,-0.0193,0.0,0.017,0.983
"Terrível, simplesmente terrível essa experiência.",terrível simplesmente terrível experiência,Negativo,-0.4285,0.0,0.412,0.588
"A loja fica aberta até as 22h, segundo o site.",loja fica aberta até segundo site,Neutro,0.0314,0.03,0.0,0.97
O livro chegou no prazo previsto.,livro chegou prazo previsto,Neutro,0.0273,0.023,0.0,0.977
Melhor experiência que já tive com o suporte.,melhor experiência suporte,Positivo,0.8256,0.593,0.0,0.407
"Atendimento nota 10, resolveram meu problema rapidinho.",atendimento nota resolveram problema rapidinho,Positivo,0.7808,0.589,0.0,0.411
"Atendimento nota 10, resolveram meu problema rapidinho.",atendimento nota resolveram problema rapidinho,Positivo,0.6713,0.631,0.0,0.369
"Terrível, simplesmente terrível essa experiência.",terrível simplesmente terrível experiência,Negativo,-0.4801,0.0,0.338,0.662
"O prazo de entrega impecável, virei cliente fiel dessa marca.",prazo entrega impecável virei cliente fiel dessa marca,Positivo,0.7448,0.673,0.0,0.327
Alguém sabe informar o prazo de entrega de a bicicleta?,alguém sabe informar prazo entrega bicicleta,Neutro,-0.0421,0.0,0.038,0.962
Qual a diferença entre a bicicleta e o modelo anterior?,diferença entre bicicleta modelo anterior,Neutro,-0.041,0.0,0.03,0.97
"Ótimo o suporte, estou muito feliz com a compra!",ótimo suporte estou feliz compra,Positivo,0.7115,0.59,0.0,0.41
"O prazo de entrega horrível, a caixa chegou toda amassada.",prazo entrega horrível caixa chegou toda amassada,Negativo,-0.6383,0.0,0.41,0.59
"Muito satisfeito com a bicicleta, vale cada centavo.",satisfeito bicicleta vale cada centavo,Positivo,0.5832,0.426,0.0,0.574
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.871,0.0,0.684,0.316
"Simplesmente incrível, o preço sensacional!",simplesmente incrível preço sensacional,Positivo,0.5212,0.343,0.0,0.657
Melhor experiência que já tive com a experiência de compra.,melhor experiência experiência compra,Positivo,0.6242,0.386,0.0,0.614
Alguém sabe informar o prazo de entrega de a bolsa?,alguém sabe informar prazo entrega bolsa,Neutro,-0.02,0.0,0.016,0.984
Melhor experiência que já tive com a embalagem.,melhor experiência embalagem,Positivo,0.7114,0.585,0.0,0.415
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,0.005,0.003,0.0,0.997
Alguém sabe informar o prazo de entrega de o relógio?,alguém sabe informar prazo entrega relógio,Neutro,0.0319,0.03,0.0,0.97
Extremamente decepcionado com o livro.,extremamente decepcionado livro,Negativo,-0.7189,0.0,0.493,0.507
"Equipe muito profissional, super recomendo essa marca!",equipe profissional super recomendo marca,Positivo,0.8628,0.664,0.0,0.336
"Não indico essa marca pra ninguém, o produto quebrou em uma semana.",indico marca pra ninguém produto quebrou semana,Negativo,-0.6753,0.0,0.617,0.383
"O celular é maravilhoso, adorei demais!",celular maravilhoso adorei demais,Positivo,0.5146,0.329,0.0,0.671
"A loja fica aberta até as 22h, segundo o site.",loja fica aberta até segundo site,Neutro,-0.0247,0.0,0.015,0.985
"Comprei a bolsa e chegou rápido, super satisfeito!",comprei bolsa chegou rápido super satisfeito,Positivo,0.4585,0.277,0.0,0.723
"A compra veio com defeito, muito decepcionado.",compra veio defeito decepcionado,Negativo,-0.6917,0.0,0.433,0.567
Alguém sabe informar o prazo de entrega de a compra?,alguém sabe informar prazo entrega compra,Neutro,0.0321,0.029,0.0,0.971
"O site horrível, o produto quebrou em uma semana.",site horrível produto quebrou semana,Negativo,-0.8165,0.0,0.78,0.22
"Voltarei a comprar com certeza, super atencioso!",voltarei comprar certeza super atencioso,Positivo,0.7301,0.679,0.0,0.321
"Terrível, simplesmente terrível essa experiência.",terrível simplesmente terrível experiência,Negativo,-0.7512,0.0,0.652,0.348
"Nunca mais compro dessa marca, ninguém respondeu meus e-mails.",nunca compro dessa marca ninguém respondeu emails,Negativo,-0.63,0.0,0.599,0.401
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.4082,0.0,0.321,0.679
"Equipe super atencioso, super recomendo essa marca!",equipe super atencioso super recomendo marca,Positivo,0.4168,0.266,0.0,0.734
"Péssimo o atendimento, não recomendo.",péssimo atendimento recomendo,Negativo,-0.5029,0.0,0.372,0.628
"Entrega atrasou muito, demorou semanas para resolver.",entrega atrasou demorou semanas resolver,Negativo,-0.6086,0.0,0.584,0.416
"Simplesmente incrível, o prazo de entrega sensacional!",simplesmente incrível prazo entrega sensacional,Positivo,0.7256,0.606,0.0,0.394
O notebook chegou no prazo previsto.,notebook chegou prazo previsto,Neutro,-0.0269,0.0,0.025,0.975
"Simplesmente incrível, a experiência de compra sensacional!",simplesmente incrível experiência compra sensacional,Positivo,0.7714,0.683,0.0,0.317
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,-0.0236,0.0,0.02,0.98
Qual a diferença entre o tênis e o modelo anterior?,diferença entre tênis modelo anterior,Neutro,0.031,0.03,0.0,0.97
"Adorei a embalagem da marca, muito super atencioso!",adorei embalagem marca super atencioso,Positivo,0.8354,0.523,0.0,0.477
"O pedido veio com defeito, muito decepcionado.",pedido veio defeito decepcionado,Negativo,-0.7626,0.0,0.515,0.485
Melhor experiência que já tive com o preço.,melhor experiência preço,Positivo,0.4933,0.34,0.0,0.66
Qual a diferença entre a compra e o modelo anterior?,diferença entre compra modelo anterior,Neutro,0.0446,0.032,0.0,0.968
"Que compra ruim, o brinquedo veio quebrado.",compra ruim brinquedo veio quebrado,Negativo,-0.6438,0.0,0.424,0.576
"Atendimento horrível, ninguém resolve nada.",atendimento horrível ninguém resolve nada,Negativo,-0.7105,0.0,0.507,0.493
"O perfume é horrível, não vale o preço, decepção total.",perfume horrível vale preço decepção total,Negativo,-0.8454,0.0,0.526,0.474
Extremamente decepcionado com o celular.,extremamente decepcionado celular,Negativo,-0.4316,0.0,0.299,0.701
"Atendimento horrível, ninguém resolve nada.",atendimento horrível ninguém resolve nada,Negativo,-0.5836,0.0,0.458,0.542
"Recebi o brinquedo, embalagem estava ok.",recebi brinquedo embalagem estava,Neutro,-0.0207,0.0,0.014,0.986
"A experiência de compra horrível, a caixa chegou toda amassada.",experiência compra horrível caixa chegou toda amassada,Negativo,-0.523,0.0,0.509,0.491
Estou pesquisando opiniões sobre a embalagem antes de comprar.,estou pesquisando opiniões sobre embalagem antes comprar,Neutro,-0.0424,0.0,0.032,0.968
"O atendimento horrível, demorou semanas para resolver.",atendimento horrível demorou semanas resolver,Negativo,-0.7329,0.0,0.612,0.388
"A entrega horrível, ninguém respondeu meus e-mails.",entrega horrível ninguém respondeu emails,Negativo,-0.5481,0.0,0.462,0.538
"A bicicleta tem cor azul e branca, conforme o anúncio.",bicicleta cor azul branca conforme anúncio,Neutro,0.0426,0.039,0.0,0.961
"Comprei o relógio e chegou rápido, super satisfeito!",comprei relógio chegou rápido super satisfeito,Positivo,0.4798,0.308,0.0,0.692
O fone de ouvido chegou no prazo previsto.,fone ouvido chegou prazo previsto,Neutro,-0.0409,0.0,0.032,0.968
"A loja fica aberta até as 22h, segundo o site.",loja fica aberta até segundo site,Neutro,0.0365,0.028,0.0,0.972
"Não indico essa marca pra ninguém, o produto quebrou em uma semana.",indico marca pra ninguém produto quebrou semana,Negativo,-0.6693,0.0,0.6,0.4
"Voltarei a comprar com certeza, impecável!",voltarei comprar certeza impecável,Positivo,0.8714,0.548,0.0,0.452
"A blusa é horrível, não vale o preço, decepção total.",blusa horrível vale preço decepção total,Negativo,-0.5992,0.0,0.537,0.463
"A bicicleta veio com defeito, muito decepcionado.",bicicleta veio defeito decepcionado,Negativo,-0.4739,0.0,0.451,0.549
"Comprei o pedido ontem, ainda vou testar.",comprei pedido ontem ainda vou testar,Neutro,-0.0323,0.0,0.026,0.974
"Comprei a bicicleta ontem, ainda vou testar.",comprei bicicleta ontem ainda vou testar,Neutro,-0.043,0.0,0.042,0.958
Qual a diferença entre o livro e o modelo anterior?,diferença entre livro modelo anterior,Neutro,0.0497,0.03,0.0,0.97
Estou pesquisando opiniões sobre o app antes de comprar.,estou pesquisando opiniões sobre app antes comprar,Neutro,-0.0247,0.0,0.015,0.985
"A experiência de compra horrível, veio tudo errado.",experiência compra horrível veio tudo errado,Negativo,-0.4178,0.0,0.338,0.662
"Muito bom o perfume, ficou perfeito, adorei o resultado!",bom perfume ficou perfeito adorei resultado,Positivo,0.8847,0.619,0.0,0.381
"O livro é horrível, não vale o preço, decepção total.",livro horrível vale preço decepção total,Negativo,-0.7156,0.0,0.486,0.514
"Terrível, simplesmente terrível essa experiência.",terrível simplesmente terrível experiência,Negativo,-0.5098,0.0,0.378,0.622
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.7616,0.0,0.748,0.252
"Suporte não responde, estou muito insatisfeito.",suporte responde estou insatisfeito,Negativo,-0.8289,0.0,0.697,0.303
"Recebi a bolsa, embalagem estava ok.",recebi bolsa embalagem estava,Neutro,-0.012,0.0,0.011,0.989
Estou pesquisando opiniões sobre a entrega antes de comprar.,estou pesquisando opiniões sobre entrega antes comprar,Neutro,0.0303,0.019,0.0,0.981
Extremamente decepcionado com o livro.,extremamente decepcionado livro,Negativo,-0.8672,0.0,0.793,0.207
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,-0.0193,0.0,0.017,0.983
"A bicicleta veio com defeito, muito decepcionado.",bicicleta veio defeito decepcionado,Negativo,-0.7067,0.0,0.617,0.383
"A blusa é maravilhoso, adorei demais!",blusa maravilhoso adorei demais,Positivo,0.895,0.723,0.0,0.277
"O tênis é maravilhoso, adorei demais!",tênis maravilhoso adorei demais,Positivo,0.7876,0.475,0.0,0.525
"O notebook é maravilhoso, adorei demais!",notebook maravilhoso adorei demais,Positivo,0.6127,0.566,0.0,0.434
Alguém sabe informar o prazo de entrega de o eletrodoméstico?,alguém sabe informar prazo entrega eletrodoméstico,Neutro,0.034,0.032,0.0,0.968
"Entrega atrasou muito, veio tudo errado.",entrega atrasou veio tudo errado,Negativo,-0.6009,0.0,0.555,0.445
Estou pesquisando opiniões sobre a embalagem antes de comprar.,estou pesquisando opiniões sobre embalagem antes comprar,Neutro,-0.0351,0.0,0.029,0.971
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.6181,0.427,0.0,0.573
"O perfume é horrível, não vale o preço, decepção total.",perfume horrível vale preço decepção total,Negativo,-0.7256,0.0,0.505,0.495
"O suporte impecável, virei cliente fiel dessa marca.",suporte impecável virei cliente fiel dessa marca,Positivo,0.4998,0.474,0.0,0.526
Alguém sabe informar o prazo de entrega de o brinquedo?,alguém sabe informar prazo entrega brinquedo,Neutro,0.012,0.012,0.0,0.988
Estou pesquisando opiniões sobre a entrega antes de comprar.,estou pesquisando opiniões sobre entrega antes comprar,Neutro,-0.0418,0.0,0.031,0.969
"O notebook veio com defeito, muito decepcionado.",notebook veio defeito decepcionado,Negativo,-0.5761,0.0,0.365,0.635
Qual a diferença entre o fone de ouvido e o modelo anterior?,diferença entre fone ouvido modelo anterior,Neutro,-0.0288,0.0,0.025,0.975
"Simplesmente incrível, o prazo de entrega sensacional!",simplesmente incrível prazo entrega sensacional,Positivo,0.5079,0.505,0.0,0.495
"O relógio superou minhas expectativas, muito bom!",relógio superou expectativas bom,Positivo,0.785,0.762,0.0,0.238
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.4725,0.0,0.389,0.611
Fui até a loja física para trocar o tênis.,fui até loja física trocar tênis,Neutro,0.0077,0.006,0.0,0.994
"Suporte não responde, estou muito insatisfeito.",suporte responde estou insatisfeito,Negativo,-0.6911,0.0,0.59,0.41
"O livro superou minhas expectativas, muito bom!",livro superou expectativas bom,Positivo,0.4599,0.289,0.0,0.711
Alguém sabe informar o prazo de entrega de o produto?,alguém sabe informar prazo entrega produto,Neutro,0.0081,0.007,0.0,0.993
"O tênis tem cor azul e branca, conforme o anúncio.",tênis cor azul branca conforme anúncio,Neutro,-0.0069,0.0,0.006,0.994
"Excelente a entrega, recomendo a todos!",excelente entrega recomendo todos,Positivo,0.6645,0.561,0.0,0.439
"A experiência de compra impecável, virei cliente fiel dessa marca.",experiência compra impecável virei cliente fiel dessa marca,Positivo,0.5986,0.381,0.0,0.619
Fui até a loja física para trocar o livro.,fui até loja física trocar livro,Neutro,0.0093,0.006,0.0,0.994
"Simplesmente incrível, o app sensacional!",simplesmente incrível app sensacional,Positivo,0.7531,0.512,0.0,0.488
"Muito ruim o atendimento, experiência péssima.",ruim atendimento experiência péssima,Negativo,-0.748,0.0,0.624,0.376
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.6237,0.0,0.472,0.528
"Ótimo o app, estou muito feliz com a compra!",ótimo app estou feliz compra,Positivo,0.6557,0.398,0.0,0.602
"Voltarei a comprar com certeza, super atencioso!",voltarei comprar certeza super atencioso,Positivo,0.6917,0.532,0.0,0.468
"Que compra ruim, o brinquedo veio quebrado.",compra ruim brinquedo veio quebrado,Negativo,-0.5521,0.0,0.391,0.609
"Excelente o prazo de entrega, recomendo a todos!",excelente prazo entrega recomendo todos,Positivo,0.6893,0.605,0.0,0.395
Extremamente decepcionado com o livro.,extremamente decepcionado livro,Negativo,-0.7335,0.0,0.607,0.393
"Ótimo o preço, estou muito feliz com a compra!",ótimo preço estou feliz compra,Positivo,0.8715,0.544,0.0,0.456
"Recebi a bicicleta, embalagem estava ok.",recebi bicicleta embalagem estava,Neutro,-0.0338,0.0,0.022,0.978
"A bolsa veio com defeito, muito decepcionado.",bolsa veio defeito decepcionado,Negativo,-0.4887,0.0,0.406,0.594
"A loja fica aberta até as 22h, segundo o site.",loja fica aberta até segundo site,Neutro,-0.0173,0.0,0.012,0.988
Alguém sabe informar o prazo de entrega de o fone de ouvido?,alguém sabe informar prazo entrega fone ouvido,Neutro,0.0287,0.019,0.0,0.981
Melhor experiência que já tive com o atendimento.,melhor experiência atendimento,Positivo,0.8669,0.628,0.0,0.372
"Excelente a embalagem, recomendo a todos!",excelente embalagem recomendo todos,Positivo,0.6624,0.626,0.0,0.374
"Recebi o brinquedo, embalagem estava ok.",recebi brinquedo embalagem estava,Neutro,0.0409,0.039,0.0,0.961
"Comprei a compra ontem, ainda vou testar.",comprei compra ontem ainda vou testar,Neutro,-0.0108,0.0,0.009,0.991
"A qualidade horrível, o produto quebrou em uma semana.",qualidade horrível produto quebrou semana,Negativo,-0.673,0.0,0.477,0.523
"Adorei a embalagem da marca, muito acima da expectativa!",adorei embalagem marca acima expectativa,Positivo,0.4849,0.377,0.0,0.623
Estou pesquisando opiniões sobre a embalagem antes de comprar.,estou pesquisando opiniões sobre embalagem antes comprar,Neutro,0.0296,0.024,0.0,0.976
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.5989,0.537,0.0,0.463
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.5805,0.561,0.0,0.439
Fui até a loja física para trocar o relógio.,fui até loja física trocar relógio,Neutro,0.0134,0.009,0.0,0.991
"Comprei o produto e chegou rápido, super satisfeito!",comprei produto chegou rápido super satisfeito,Positivo,0.8639,0.574,0.0,0.426
"Adorei o prazo de entrega da marca, muito acima da expectativa!",adorei prazo entrega marca acima expectativa,Positivo,0.8359,0.762,0.0,0.238
"O fone de ouvido tem cor azul e branca, conforme o anúncio.",fone ouvido cor azul branca conforme anúncio,Neutro,0.0496,0.045,0.0,0.955
Estou pesquisando opiniões sobre o app antes de comprar.,estou pesquisando opiniões sobre app antes comprar,Neutro,-0.0353,0.0,0.022,0.978
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,-0.0329,0.0,0.024,0.976
Qual a diferença entre o notebook e o modelo anterior?,diferença entre notebook modelo anterior,Neutro,0.039,0.03,0.0,0.97
"Adorei a qualidade da marca, muito muito profissional!",adorei qualidade marca profissional,Positivo,0.7579,0.709,0.0,0.291
"Suporte não responde, estou muito insatisfeito.",suporte responde estou insatisfeito,Negativo,-0.647,0.0,0.545,0.455
"O notebook é horrível, não vale o preço, decepção total.",notebook horrível vale preço decepção total,Negativo,-0.408,0.0,0.373,0.627
"Adorei o site da marca, muito muito profissional!",adorei site marca profissional,Positivo,0.5866,0.44,0.0,0.56
"Simplesmente incrível, o atendimento sensacional!",simplesmente incrível atendimento sensacional,Positivo,0.4183,0.359,0.0,0.641
"O atendimento impecável, virei cliente fiel dessa marca.",atendimento impecável virei cliente fiel dessa marca,Positivo,0.8194,0.655,0.0,0.345
"Não indico essa marca pra ninguém, cobraram duas vezes no cartão.",indico marca pra ninguém cobraram duas vezes cartão,Negativo,-0.784,0.0,0.523,0.477
"A bicicleta superou minhas expectativas, muito bom!",bicicleta superou expectativas bom,Positivo,0.7227,0.535,0.0,0.465
"Excelente a entrega, recomendo a todos!",excelente entrega recomendo todos,Positivo,0.5065,0.498,0.0,0.502
"A bolsa tem cor azul e branca, conforme o anúncio.",bolsa cor azul branca conforme anúncio,Neutro,-0.0051,0.0,0.004,0.996
"Adorei o suporte da marca, muito de primeira qualidade!",adorei suporte marca primeira qualidade,Positivo,0.7855,0.72,0.0,0.28
"O pedido tem cor azul e branca, conforme o anúncio.",pedido cor azul branca conforme anúncio,Neutro,-0.0032,0.0,0.002,0.998
Estou pesquisando opiniões sobre o app antes de comprar.,estou pesquisando opiniões sobre app antes comprar,Neutro,0.0303,0.029,0.0,0.971
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,0.0253,0.025,0.0,0.975
"Entrega atrasou muito, a caixa chegou toda amassada.",entrega atrasou caixa chegou toda amassada,Negativo,-0.614,0.0,0.471,0.529
O eletrodoméstico chegou no prazo previsto.,eletrodoméstico chegou prazo previsto,Neutro,0.0078,0.007,0.0,0.993
"Comprei o perfume e chegou rápido, super satisfeito!",comprei perfume chegou rápido super satisfeito,Positivo,0.4183,0.311,0.0,0.689
"Produto de baixa qualidade, dinheiro jogado fora.",produto baixa qualidade dinheiro jogado fora,Negativo,-0.4682,0.0,0.423,0.577
"Muito ruim o site, experiência péssima.",ruim site experiência péssima,Negativo,-0.5419,0.0,0.488,0.512
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.8341,0.573,0.0,0.427
Qual a diferença entre o celular e o modelo anterior?,diferença entre celular modelo anterior,Neutro,-0.0105,0.0,0.009,0.991
"Que compra ruim, o fone de ouvido veio quebrado.",compra ruim fone ouvido veio quebrado,Negativo,-0.6768,0.0,0.513,0.487
"Não indico essa marca pra ninguém, a caixa chegou toda amassada.",indico marca pra ninguém caixa chegou toda amassada,Negativo,-0.7701,0.0,0.548,0.452
"Comprei a bolsa ontem, ainda vou testar.",comprei bolsa ontem ainda vou testar,Neutro,0.0341,0.025,0.0,0.975
"Comprei o celular ontem, ainda vou testar.",comprei celular ontem ainda vou testar,Neutro,-0.0042,0.0,0.003,0.997
"Comprei o produto ontem, ainda vou testar.",comprei produto ontem ainda vou testar,Neutro,-0.0431,0.0,0.039,0.961
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.7606,0.0,0.569,0.431
"Excelente a qualidade, recomendo a todos!",excelente qualidade recomendo todos,Positivo,0.8336,0.755,0.0,0.245
Melhor experiência que já tive com o preço.,melhor experiência preço,Positivo,0.843,0.517,0.0,0.483
Estou pesquisando opiniões sobre o prazo de entrega antes de comprar.,estou pesquisando opiniões sobre prazo entrega antes comprar,Neutro,-0.0392,0.0,0.033,0.967
"Que ótima experiência de compra, tudo maravilhoso!",ótima experiência compra tudo maravilhoso,Positivo,0.6806,0.527,0.0,0.473
"Que compra ruim, o eletrodoméstico veio quebrado.",compra ruim eletrodoméstico veio quebrado,Negativo,-0.5282,0.0,0.389,0.611
"Adorei o atendimento da marca, muito impecável!",adorei atendimento marca impecável,Positivo,0.4813,0.344,0.0,0.656
"O pedido veio com defeito, muito decepcionado.",pedido veio defeito decepcionado,Negativo,-0.5817,0.0,0.415,0.585
"Comprei o relógio e chegou rápido, super satisfeito!",comprei relógio chegou rápido super satisfeito,Positivo,0.4867,0.315,0.0,0.685
"Péssimo o atendimento, não recomendo.",péssimo atendimento recomendo,Negativo,-0.4354,0.0,0.363,0.637
"Serviço ruim, atendimento péssimo, não voltarei.",serviço ruim atendimento péssimo voltarei,Negativo,-0.4243,0.0,0.419,0.581
"Comprei o brinquedo ontem, ainda vou testar.",comprei brinquedo ontem ainda vou testar,Neutro,-0.0142,0.0,0.013,0.987
Vi a propaganda da marca na TV hoje.,propaganda marca hoje,Neutro,-0.0397,0.0,0.037,0.963
Estou pesquisando opiniões sobre a qualidade antes de comprar.,estou pesquisando opiniões sobre qualidade antes comprar,Neutro,-0.0424,0.0,0.031,0.969
"Recebi o perfume, embalagem estava ok.",recebi perfume embalagem estava,Neutro,-0.036,0.0,0.033,0.967
"Que compra ruim, o notebook veio quebrado.",compra ruim notebook veio quebrado,Negativo,-0.6335,0.0,0.58,0.42
"Voltarei a comprar com certeza, rápido e eficiente!",voltarei comprar certeza rápido eficiente,Positivo,0.8744,0.675,0.0,0.325
